"","groupid","groupid2","MPCAID","parameter","Pollutant","poc","year","scheduled","count_valid","pct_complete","count_zero","pct_zero","count_detect","pct_detect","average","X2nd_high","std_dev","confidence.95.","CAS","Site","AQS_ID_text","AQS_ID_num","City","Site_Name","Report_Name","RegionName","Region2","Site_Description","Address","UTM_zone","UTM_easting","UTM_north","km_mean","km_sd","km_UCL"
"1","420.43207.1","420.43207.1.2002",420,43207,"Freon 113",1,2002,61,59,0.967213115,6,0.101694915,10,0.169491525,0.433979661,1.4715,0.284447303,0.074127371,"76-13-1","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.67614068,0.161670336,0.718272199
"2","420.43502.1","420.43502.1.2002",420,43502,"Formaldehyde",1,2002,61,58,0.950819672,0,0,58,1,2.21102931,8.6028,2.190902701,0.576068499,"50-00-0","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,2.21102931,2.210037585,2.79212907
"3","420.43503.1","420.43503.1.2002",420,43503,"Acetaldehyde",1,2002,61,58,0.950819672,0,0,58,1,0.978622414,2.1512,0.839553817,0.220749423,"75-07-0","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.97862241,0.846886304,1.201299812
"4","420.43504.1","420.43504.1.2002",420,43504,"Propionaldehyde",1,2002,61,60,0.983606557,4,0.066666667,56,0.933333333,0.143876667,0.7123,0.139692555,0.036086413,"123-38-6","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.14512333,0.139734424,0.181220559
"5","420.43510.1","420.43510.1.2002",420,43510,"Butyraldehyde",1,2002,61,59,0.967213115,1,0.016949153,58,0.983050847,0.148964407,0.4852,0.094880653,0.024726033,"123-72-8","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.14948814,0.094961522,0.174235247
"6","420.43804.1","420.43804.1.2002",420,43804,"Carbon Tetrachloride",1,2002,61,58,0.950819672,0,0,42,0.724137931,0.536263793,0.8493,0.184597327,0.048537393,"56-23-5","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.57358276,0.132587769,0.608444937
"7","420.43811.1","420.43811.1.2002",420,43811,"Trichlorofluoromethane",1,2002,61,59,0.967213115,0,0,59,1,1.331271186,1.7867,0.210762351,0.054924968,"75-69-4","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,1.33127119,0.212571503,1.386667625
"8","420.43823.1","420.43823.1.2002",420,43823,"Dichlorodifluoromethane",1,2002,61,59,0.967213115,0,0,59,1,2.464049153,3.4963,0.497215867,0.129575161,"75-71-8","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,2.46404915,0.501483892,2.594736564
"9","420.45109.1","420.45109.1.2002",420,45109,"M/P Xylene",1,2002,61,58,0.950819672,0,0,33,0.568965517,0.5514,1.5589,0.340803665,0.089609756,"0","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.60954828,0.298142889,0.687940956
"10","420.45201.1","420.45201.1.2002",420,45201,"Benzene",1,2002,61,58,0.950819672,0,0,58,1,0.836181034,1.7762,0.361567272,0.095069268,"71-43-2","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.83618103,0.364725124,0.932080613
"11","420.45202.1","420.45202.1.2002",420,45202,"Toluene",1,2002,61,58,0.950819672,0,0,58,1,1.254782759,3.2334,0.703649734,0.185015266,"108-88-3","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,1.25478276,0.709795263,1.441413911
"12","420.45203.1","420.45203.1.2002",420,45203,"Ethylbenzene",1,2002,61,59,0.967213115,1,0.016949153,9,0.152542373,0.177454237,0.5515,0.127158422,0.033137665,"100-41-4","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.33879831,0.057657716,0.353823993
"13","420.45204.1","420.45204.1.2002",420,45204,"O-Xylene",1,2002,61,58,0.950819672,4,0.068965517,6,0.103448276,0.177737931,0.5558,0.136777331,0.035963766,"95-47-6","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.38872931,0.058925208,0.404222904
"14","420.45208.1","420.45208.1.2002",420,45208,"1,2,4-Trimethylbenzene",1,2002,61,56,0.918032787,3,0.053571429,11,0.196428571,0.1791625,0.4867,0.136950767,0.036675655,"95-63-6","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.31797857,0.064940374,0.335369716
"15","420.45501.1","420.45501.1.2002",420,45501,"Benzaldehyde",1,2002,61,59,0.967213115,52,0.881355932,7,0.118644068,0.006966102,0.0857,0.020707606,0.005396432,"100-52-7","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.04010508,0.011579985,0.043122841
"16","423.43207.1","423.43207.1.2002",423,43207,"Freon 113",1,2002,61,57,0.93442623,8,0.140350877,9,0.157894737,0.437914035,0.889,0.535745226,0.142152343,"76-13-1","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.70920172,0.471231231,0.833105656
"17","423.43502.1","423.43502.1.2002",423,43502,"Formaldehyde",1,2002,61,54,0.885245902,0,0,54,1,1.091266667,3.1975,0.870033349,0.237473391,"50-00-0","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,1.09126667,0.878202856,1.330969907
"18","423.43503.1","423.43503.1.2002",423,43503,"Acetaldehyde",1,2002,61,57,0.93442623,0,0,57,1,0.789770175,1.6831,0.374085852,0.099258337,"75-07-0","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.78977018,0.377411125,0.889910831
"19","423.43504.1","423.43504.1.2002",423,43504,"Propionaldehyde",1,2002,61,59,0.967213115,3,0.050847458,56,0.949152542,0.136464407,0.4565,0.147682506,0.038486271,"123-38-6","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.1375322,0.148093246,0.17612551
"20","423.43510.1","423.43510.1.2002",423,43510,"Butyraldehyde",1,2002,61,58,0.950819672,7,0.120689655,51,0.879310345,0.135860345,0.3993,0.098849715,0.025991208,"123-72-8","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.13986724,0.094738972,0.164777583
"21","423.43804.1","423.43804.1.2002",423,43804,"Carbon Tetrachloride",1,2002,61,57,0.93442623,0,0,37,0.649122807,0.495022807,0.7738,0.158696157,0.042107758,"56-23-5","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.54344138,0.103998677,0.570786438
"22","423.43811.1","423.43811.1.2002",423,43811,"Trichlorofluoromethane",1,2002,61,57,0.93442623,0,0,57,1,1.43052807,1.9383,0.338970523,0.089940986,"75-69-4","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,1.43052807,0.341983654,1.521268547
"23","423.43823.1","423.43823.1.2002",423,43823,"Dichlorodifluoromethane",1,2002,61,57,0.93442623,0,0,58,1.01754386,2.417507018,2.9473,0.349062025,0.092618622,"75-71-8","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,2.4184569,0.349136977,2.510257788
"24","423.45109.1","423.45109.1.2002",423,45109,"M/P Xylene",1,2002,61,59,0.967213115,0,0,17,0.288135593,0.362691525,0.9423,0.238096561,0.062048302,"0","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.49391864,0.158406745,0.535199663
"25","423.45201.1","423.45201.1.2002",423,45201,"Benzene",1,2002,61,57,0.93442623,0,0,54,0.947368421,0.536875439,1.0638,0.244834449,0.064963324,"71-43-2","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.53317931,0.246054139,0.597875948
"26","423.45202.1","423.45202.1.2002",423,45202,"Toluene",1,2002,61,58,0.950819672,0,0,59,1.017241379,0.811527586,2.0124,0.51405421,0.135163664,"108-88-3","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.80402581,0.503129209,0.931796705
"27","423.45501.1","423.45501.1.2002",423,45501,"Benzaldehyde",1,2002,61,57,0.93442623,51,0.894736842,6,0.105263158,0.006303509,0.076,0.019446643,0.005159889,"100-52-7","Rosemount (423)","27-037-0423",270370423,"Rosemount","FHR 423","Flint Hills (423)","Metro","Industrial","0","2142 120th St. E",15,495040,4957740,0.03242982,0.012446736,0.035732384
"28","436.43502.1","436.43502.1.2002",436,43502,"Formaldehyde",1,2002,61,54,0.885245902,0,0,54,1,1.853937037,4.4591,1.34745216,0.367783642,"50-00-0","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,1.85393704,1.360104571,2.225174125
"29","436.43503.1","436.43503.1.2002",436,43503,"Acetaldehyde",1,2002,61,57,0.93442623,0,0,57,1,1.325108772,3.5654,0.732495618,0.194357249,"75-07-0","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,1.32510877,0.739006818,1.521193673
"30","436.43504.1","436.43504.1.2002",436,43504,"Propionaldehyde",1,2002,61,58,0.950819672,0,0,57,0.982758621,0.188008621,0.5695,0.144377267,0.037962067,"123-38-6","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.18806724,0.145590033,0.226348188
"31","436.43510.1","436.43510.1.2002",436,43510,"Butyraldehyde",1,2002,61,57,0.93442623,0,0,57,1,0.310912281,0.6581,0.672330768,0.178393365,"123-72-8","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.31091228,0.678307159,0.490891395
"32","436.43516.1","436.43516.1.2002",436,43516,"Trans-Crotonaldehyde",1,2002,61,56,0.918032787,44,0.785714286,11,0.196428571,0.017196429,0.1182,0.036673384,0.009821197,"123-73-9","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.04441607,0.025877135,0.051346012
"33","436.43804.1","436.43804.1.2002",436,43804,"Carbon Tetrachloride",1,2002,61,59,0.967213115,1,0.016949153,36,0.610169492,0.450515254,0.7298,0.168733223,0.043972117,"56-23-5","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.50734746,0.097496367,0.532755152
"34","436.43811.1","436.43811.1.2002",436,43811,"Trichlorofluoromethane",1,2002,61,59,0.967213115,0,0,59,1,1.301949153,1.826,0.196101261,0.051104267,"75-69-4","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,1.30194915,0.197784564,1.353492088
"35","436.43823.1","436.43823.1.2002",436,43823,"Dichlorodifluoromethane",1,2002,61,59,0.967213115,0,0,59,1,2.405459322,3.1451,0.383639427,0.099976979,"75-71-8","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,2.40545932,0.38693253,2.506294487
"36","436.45109.1","436.45109.1.2002",436,45109,"M/P Xylene",1,2002,61,59,0.967213115,0,0,53,0.898305085,1.186194915,3.3696,0.778707849,0.202932371,"0","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,1.20135763,0.770196765,1.402072
"37","436.45201.1","436.45201.1.2002",436,45201,"Benzene",1,2002,61,59,0.967213115,0,0,59,1,1.339057627,2.5494,0.570348538,0.148633638,"71-43-2","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,1.33905763,0.575244323,1.488967117
"38","436.45202.1","436.45202.1.2002",436,45202,"Toluene",1,2002,61,59,0.967213115,0,0,59,1,2.199788136,6.2406,1.311688317,0.341827837,"108-88-3","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,2.19978814,1.32294765,2.544550175
"39","436.45203.1","436.45203.1.2002",436,45203,"Ethylbenzene",1,2002,61,59,0.967213115,0,0,21,0.355932203,0.335464407,1.0899,0.247231838,0.064428968,"100-41-4","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.43295085,0.190110715,0.482493972
"40","436.45204.1","436.45204.1.2002",436,45204,"O-Xylene",1,2002,61,58,0.950819672,0,0,25,0.431034483,0.39815,1.0986,0.267885969,0.070437025,"95-47-6","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.47651897,0.213059795,0.532540187
"41","436.45207.1","436.45207.1.2002",436,45207,"1,3,5-Trimethylbenzene",1,2002,61,58,0.950819672,3,0.051724138,8,0.137931034,0.114760345,0.3982,0.107148648,0.028173301,"108-67-8","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.26307586,0.042270022,0.274190196
"42","436.45208.1","436.45208.1.2002",436,45208,"1,2,4-Trimethylbenzene",1,2002,61,58,0.950819672,0,0,37,0.637931034,0.442253448,1.1503,0.302420198,0.079517338,"95-63-6","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.48063448,0.274597823,0.552836297
"43","436.45220.1","436.45220.1.2002",436,45220,"Styrene",1,2002,61,59,0.967213115,38,0.644067797,6,0.101694915,0.072054237,0.8392,0.177973082,0.046380038,"100-42-5","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.25851864,0.13649848,0.294090338
"44","436.45228.1","436.45228.1.2002",436,45228,"Benzene, 1-Ethenyl-4-Methyl",1,2002,61,57,0.93442623,0,0,25,0.438596491,0.287012281,0.8652,0.221569902,0.058790408,"622-97-9","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.35247719,0.17380243,0.398593182
"45","436.45501.1","436.45501.1.2002",436,45501,"Benzaldehyde",1,2002,61,57,0.93442623,50,0.877192982,7,0.122807018,0.008117544,0.0791,0.022228716,0.005898072,"100-52-7","St. Paul Park (436)","27-163-0436",271630436,"St. Paul Park","MPC 436","St. Paul Park","Metro","Industrial","0","649 5th St",15,500348,4965992,0.04759123,0.009126957,0.050012938
"46","438.43502.1","438.43502.1.2002",438,43502,"Formaldehyde",1,2002,61,54,0.885245902,0,0,54,1,1.601694444,5.1299,1.298798582,0.354503771,"50-00-0","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,1.60169444,1.310994141,1.959526958
"47","438.43503.1","438.43503.1.2002",438,43503,"Acetaldehyde",1,2002,61,56,0.918032787,0,0,56,1,1.259648214,3.1901,0.765484549,0.204998101,"75-07-0","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,1.25964821,0.772412152,1.466501535
"48","438.43504.1","438.43504.1.2002",438,43504,"Propionaldehyde",1,2002,61,57,0.93442623,0,0,57,1,0.180561404,0.5688,0.134933146,0.035802583,"123-38-6","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.1805614,0.136132576,0.216682234
"49","438.43510.1","438.43510.1.2002",438,43510,"Butyraldehyde",1,2002,61,56,0.918032787,1,0.017857143,55,0.982142857,0.220844643,0.598,0.13457269,0.036038802,"123-72-8","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.22134821,0.135029034,0.257509221
"50","438.43516.1","438.43516.1.2002",438,43516,"Trans-Crotonaldehyde",1,2002,61,56,0.918032787,50,0.892857143,6,0.107142857,0.007133929,0.0803,0.022066436,0.00590943,"123-73-9","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.03615179,0.014447807,0.040020938
"51","438.43804.1","438.43804.1.2002",438,43804,"Carbon Tetrachloride",1,2002,61,48,0.786885246,3,0.0625,33,0.6875,0.461354167,0.7612,0.199474036,0.057921222,"56-23-5","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.52649792,0.110966799,0.55871932
"52","438.43811.1","438.43811.1.2002",438,43811,"Trichlorofluoromethane",1,2002,61,48,0.786885246,0,0,48,1,1.3245375,1.7529,0.184210942,0.053489282,"75-69-4","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,1.3245375,0.186160318,1.378592822
"53","438.43823.1","438.43823.1.2002",438,43823,"Dichlorodifluoromethane",1,2002,61,48,0.786885246,0,0,48,1,2.430564583,3.4072,0.447659764,0.129986845,"75-71-8","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,2.43056458,0.452397036,2.561926986
"54","438.45109.1","438.45109.1.2002",438,45109,"M/P Xylene",1,2002,61,48,0.786885246,0,0,42,0.875,1.346579167,3.3653,0.829424263,0.240839701,"0","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,1.38330208,0.797022206,1.614733204
"55","438.45201.1","438.45201.1.2002",438,45201,"Benzene",1,2002,61,48,0.786885246,0,0,48,1,1.508685417,3.5046,0.786661148,0.228422586,"71-43-2","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,1.50868542,0.794985836,1.739525244
"56","438.45202.1","438.45202.1.2002",438,45202,"Toluene",1,2002,61,48,0.786885246,0,0,48,1,2.65176875,6.5647,1.516931964,0.440471127,"108-88-3","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,2.65176875,1.532984601,3.096901077
"57","438.45203.1","438.45203.1.2002",438,45203,"Ethylbenzene",1,2002,61,48,0.786885246,0,0,22,0.458333333,0.370816667,0.9857,0.230712923,0.06699205,"100-41-4","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.45496458,0.170961112,0.504606512
"58","438.45204.1","438.45204.1.2002",438,45204,"O-Xylene",1,2002,61,48,0.786885246,0,0,25,0.520833333,0.4535,1.0856,0.30105373,0.087416891,"95-47-6","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.52416875,0.244069055,0.595039016
"59","438.45207.1","438.45207.1.2002",438,45207,"1,3,5-Trimethylbenzene",1,2002,61,48,0.786885246,6,0.125,7,0.145833333,0.118591667,0.349,0.10550091,0.030634271,"108-67-8","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.25971042,0.034852489,0.269830528
"60","438.45208.1","438.45208.1.2002",438,45208,"1,2,4-Trimethylbenzene",1,2002,61,48,0.786885246,0,0,31,0.645833333,0.45306875,1.0765,0.305646373,0.088750455,"95-63-6","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.50407708,0.260286199,0.579656314
"61","438.45228.1","438.45228.1.2002",438,45228,"Benzene, 1-Ethenyl-4-Methyl",1,2002,61,47,0.770491803,1,0.021276596,25,0.531914894,0.309061702,0.8701,0.24809642,0.072843838,"622-97-9","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.38049787,0.19035471,0.436388107
"62","438.45501.1","438.45501.1.2002",438,45501,"Benzaldehyde",1,2002,61,57,0.93442623,51,0.894736842,6,0.105263158,0.01087193,0.1428,0.036240226,0.009615826,"100-52-7","Newport","27-163-0438",271630438,"Newport","MPC 438","Newport","Metro","Industrial","NORTH OF ASHLAND REFINERY (ACCESS FROM 4TH AVE)","4th Ave & 2nd St.",15,499725,4967385,0.06097719,0.024961478,0.067600362
"63","442.43207.1","442.43207.1.2002",442,43207,"Freon 113",1,2002,61,58,0.950819672,7,0.120689655,7,0.120689655,0.415167241,1.0116,0.325031988,0.085462805,"76-13-1","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,0.69170345,0.230882663,0.752410952
"64","442.43502.1","442.43502.1.2002",442,43502,"Formaldehyde",1,2002,61,58,0.950819672,0,0,58,1,1.02882931,3.2184,0.821411234,0.215979074,"50-00-0","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,1.02882931,0.828585267,1.2466947
"65","442.43503.1","442.43503.1.2002",442,43503,"Acetaldehyde",1,2002,61,59,0.967213115,0,0,59,1,0.817979661,1.6716,0.406119549,0.105835331,"75-07-0","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,0.81797966,0.409605617,0.924723465
"66","442.43504.1","442.43504.1.2002",442,43504,"Propionaldehyde",1,2002,61,60,0.983606557,0,0,60,1,0.122603333,0.45,0.090305469,0.023328376,"123-38-6","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,0.12260333,0.091067554,0.146128574
"67","442.43510.1","442.43510.1.2002",442,43510,"Butyraldehyde",1,2002,61,59,0.967213115,7,0.118644068,52,0.881355932,0.112911864,0.4057,0.093518177,0.02437097,"123-72-8","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,0.11517797,0.091838197,0.139111134
"68","442.43804.1","442.43804.1.2002",442,43804,"Carbon Tetrachloride",1,2002,61,57,0.93442623,0,0,36,0.631578947,0.466438596,0.799,0.176214511,0.046756003,"56-23-5","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,0.52239298,0.11016353,0.551623299
"69","442.43811.1","442.43811.1.2002",442,43811,"Trichlorofluoromethane",1,2002,61,58,0.950819672,0,0,58,1,1.308213793,1.7586,0.199287015,0.052399849,"75-69-4","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,1.30821379,0.201027546,1.361071289
"70","442.43823.1","442.43823.1.2002",442,43823,"Dichlorodifluoromethane",1,2002,61,58,0.950819672,0,0,58,1,2.461513793,3.5506,0.828801612,0.217922275,"75-71-8","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,2.46151379,0.836040192,2.681339353
"71","442.45109.1","442.45109.1.2002",442,45109,"M/P Xylene",1,2002,61,57,0.93442623,1,0.01754386,9,0.157894737,0.285601754,0.8858,0.207721461,0.055115922,"0","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,0.51132982,0.092990125,0.536003421
"72","442.45201.1","442.45201.1.2002",442,45201,"Benzene",1,2002,61,57,0.93442623,0,0,54,0.947368421,0.511707018,1.1373,0.267633142,0.071012631,"71-43-2","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,0.5157386,0.264640302,0.585957124
"73","442.45202.1","442.45202.1.2002",442,45202,"Toluene",1,2002,61,57,0.93442623,0,0,51,0.894736842,0.685607018,1.677,0.397257136,0.105406506,"108-88-3","Rosemount (442)","27-037-0442",270370442,"Rosemount","FHR 442","Flint Hills (442)","Metro","Industrial","0","County Rd. 42",15,499560,4953905,0.69208772,0.393818592,0.796581858
